year	rain	yield
1970	33.60	24.50
1971	45.15	33.70
1972	34.65	27.90
1973	30.45	27.50
1974	23.80	21.70
1975	43.75	31.90
1976	45.50	36.80
1977	35.35	29.90
1978	35.35	30.20
1979	35.35	32.00
1980	37.80	34.00
1981	27.30	19.40
1982	56.70	36.00
1983	49.35	30.20
1984	37.10	32.40
1985	35.00	36.40
1986	40.25	36.90
1987	47.60	31.50
1988	42.35	30.50
1989	42.00	32.30
1990	32.55	34.90
1991	26.95	30.10
1992	38.50	36.90
1993	24.15	26.80
1994	33.25	30.50
1995	57.75	33.30
1996	32.55	29.70
1997	32.90	35.00
1998	30.45	29.90
1999	33.25	35.20
2000	40.60	38.30
2001	42.35	35.20
2002	28.00	35.50
2003	37.45	36.70
2004	48.65	26.80
2005	39.55	38.00
2006	40.60	31.70
2007	36.40	32.60
