ama	age	height
10.31	5	129.44
10.77	5.2	129.46
10.16	5.4	131.81
11.73	5.6	130.54
12.20	5.8	130.73
11.40	6	134.31
11.80	6.2	134.07
13.39	6.4	135.27
12.30	6.6	135.24
14.49	6.8	137.21
14.41	7	137.66
13.83	7.2	137.88
14.71	7.4	141.74
15.11	7.6	142.28
14.90	7.8	141.71
15.93	8	144.73
16.24	8.2	145.88
16.47	8.4	145.5
17.73	8.6	144.3
17.89	8.8	145.23
17.81	9	145.66
18.62	9.2	146.06
18.66	9.4	148.19
18.99	9.6	151.27
19.06	9.8	149.4
19.38	10	150.62
20.72	10.2	153.26
20.67	10.4	156.84
21.72	10.6	155.97
20.78	10.8	155
21.85	11	157.13
22.62	11.2	158.04
