YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1951   1.5   0.9  -0.1  -0.3  -0.7   0.2  -1.0  -0.2  -1.1  -1.0  -0.8  -0.7
1952  -0.9  -0.6   0.5  -0.2   0.8   0.7   0.5   0.1  -0.2   0.4   0.0  -1.2
1953   0.3  -0.5  -0.2   0.2  -1.7   0.1   0.0  -1.2  -1.2   0.1  -0.3  -0.5
1954   0.7  -0.3   0.3   0.6   0.5   0.1   0.4   1.1   0.2   0.3   0.1   1.4
1955  -0.5   1.9   0.6  -0.1   1.0   1.3   1.6   1.5   1.3   1.5   1.2   1.0
1956   1.3   1.6   1.3   0.9   1.4   1.1   1.1   1.2   0.1   1.8   0.2   1.1
1957   0.6  -0.1   0.2   0.2  -0.7   0.2   0.2  -0.5  -0.9   0.0  -1.0  -0.3
1958  -1.9  -0.5   0.3   0.4  -0.5   0.3   0.4   0.9  -0.3   0.1  -0.4  -0.6
1959  -0.9  -1.4   1.3   0.4   0.5  -0.1  -0.3  -0.1   0.0   0.5   0.9   0.9
1960   0.1   0.1   1.0   0.8   0.5   0.1   0.5   0.8   0.7   0.1   0.5   0.8
1961  -0.3   0.9  -1.8   0.8   0.3   0.1   0.2   0.2   0.1  -0.3   0.5   1.5
1962   2.0  -0.3   0.1   0.2   1.1   0.7   0.1   0.6   0.4   1.0   0.3   0.2
1963   1.0   0.6   1.1   0.8   0.4  -0.5  -0.1   0.0  -0.6  -1.2  -0.8  -1.2
1964  -0.4   0.0   1.1   1.1   0.2   0.8   0.6   1.5   1.3   1.3   0.2  -0.3
1965  -0.4   0.4   0.8  -0.5   0.2  -0.6  -1.8  -0.7  -1.3  -0.9  -1.5   0.2
1966  -1.3  -0.2  -0.9  -0.2  -0.4   0.3   0.1   0.6  -0.2  -0.1   0.0  -0.3
1967   1.7   1.7   1.2   0.0   0.0   0.6   0.2   0.7   0.5   0.1  -0.4  -0.6
1968   0.5   1.3   0.1   0.0   1.2   1.1   0.7   0.3  -0.3  -0.1  -0.3   0.2
1969  -1.5  -0.5   0.4  -0.4  -0.2   0.2  -0.5  -0.1  -1.0  -0.9  -0.1   0.4
1970  -1.1  -1.0   0.6  -0.1   0.4   1.0  -0.4   0.6   1.2   1.0   1.6   1.9
