"","Class","Age","Gender","Survived"
"1","1","Adult","Male","Yes"
"2","1","Adult","Male","Yes"
"3","1","Adult","Male","Yes"
"4","1","Adult","Male","Yes"
"5","1","Adult","Male","Yes"
"6","1","Adult","Male","Yes"
"7","1","Adult","Male","Yes"
"8","1","Adult","Male","Yes"
"9","1","Adult","Male","Yes"
"10","1","Adult","Male","Yes"
"11","1","Adult","Male","Yes"
"12","1","Adult","Male","Yes"
"13","1","Adult","Male","Yes"
"14","1","Adult","Male","Yes"
"15","1","Adult","Male","Yes"
"16","1","Adult","Male","Yes"
"17","1","Adult","Male","Yes"
"18","1","Adult","Male","Yes"
"19","1","Adult","Male","Yes"
"20","1","Adult","Male","Yes"
"21","1","Adult","Male","Yes"
"22","1","Adult","Male","Yes"
"23","1","Adult","Male","Yes"
"24","1","Adult","Male","Yes"
"25","1","Adult","Male","Yes"
"26","1","Adult","Male","Yes"
"27","1","Adult","Male","Yes"
"28","1","Adult","Male","Yes"
"29","1","Adult","Male","Yes"
"30","1","Adult","Male","Yes"
"31","1","Adult","Male","Yes"
"32","1","Adult","Male","Yes"
"33","1","Adult","Male","Yes"
"34","1","Adult","Male","Yes"
"35","1","Adult","Male","Yes"
"36","1","Adult","Male","Yes"
"37","1","Adult","Male","Yes"
"38","1","Adult","Male","Yes"
"39","1","Adult","Male","Yes"
"40","1","Adult","Male","Yes"
"41","1","Adult","Male","Yes"
"42","1","Adult","Male","Yes"
"43","1","Adult","Male","Yes"
"44","1","Adult","Male","Yes"
"45","1","Adult","Male","Yes"
"46","1","Adult","Male","Yes"
"47","1","Adult","Male","Yes"
"48","1","Adult","Male","Yes"
"49","1","Adult","Male","Yes"
"50","1","Adult","Male","Yes"
"51","1","Adult","Male","Yes"
"52","1","Adult","Male","Yes"
"53","1","Adult","Male","Yes"
"54","1","Adult","Male","Yes"
"55","1","Adult","Male","Yes"
"56","1","Adult","Male","Yes"
"57","1","Adult","Male","Yes"
"58","1","Adult","Male","No"
"59","1","Adult","Male","No"
"60","1","Adult","Male","No"
"61","1","Adult","Male","No"
"62","1","Adult","Male","No"
"63","1","Adult","Male","No"
"64","1","Adult","Male","No"
"65","1","Adult","Male","No"
"66","1","Adult","Male","No"
"67","1","Adult","Male","No"
"68","1","Adult","Male","No"
"69","1","Adult","Male","No"
"70","1","Adult","Male","No"
"71","1","Adult","Male","No"
"72","1","Adult","Male","No"
"73","1","Adult","Male","No"
"74","1","Adult","Male","No"
"75","1","Adult","Male","No"
"76","1","Adult","Male","No"
"77","1","Adult","Male","No"
"78","1","Adult","Male","No"
"79","1","Adult","Male","No"
"80","1","Adult","Male","No"
"81","1","Adult","Male","No"
"82","1","Adult","Male","No"
"83","1","Adult","Male","No"
"84","1","Adult","Male","No"
"85","1","Adult","Male","No"
"86","1","Adult","Male","No"
"87","1","Adult","Male","No"
"88","1","Adult","Male","No"
"89","1","Adult","Male","No"
"90","1","Adult","Male","No"
"91","1","Adult","Male","No"
"92","1","Adult","Male","No"
"93","1","Adult","Male","No"
"94","1","Adult","Male","No"
"95","1","Adult","Male","No"
"96","1","Adult","Male","No"
"97","1","Adult","Male","No"
"98","1","Adult","Male","No"
"99","1","Adult","Male","No"
"100","1","Adult","Male","No"
"101","1","Adult","Male","No"
"102","1","Adult","Male","No"
"103","1","Adult","Male","No"
"104","1","Adult","Male","No"
"105","1","Adult","Male","No"
"106","1","Adult","Male","No"
"107","1","Adult","Male","No"
"108","1","Adult","Male","No"
"109","1","Adult","Male","No"
"110","1","Adult","Male","No"
"111","1","Adult","Male","No"
"112","1","Adult","Male","No"
"113","1","Adult","Male","No"
"114","1","Adult","Male","No"
"115","1","Adult","Male","No"
"116","1","Adult","Male","No"
"117","1","Adult","Male","No"
"118","1","Adult","Male","No"
"119","1","Adult","Male","No"
